source,external_id,title,category,subcategory,start_dt,end_dt,timezone,venue_external_id,venue_name,lat,lon,status,url,tags
madrid_cultura,EVT-0001,Sinfonica Joven Madrid,music,classical,2026-02-20T20:00:00+01:00,2026-02-20T22:30:00+01:00,Europe/Madrid,MAD-AUDITORIO,Auditorio Nacional de Música,40.440438,-3.688356,confirmed,https://eventos.madrid.es/ev/0001,classical|orchestra
madrid_cultura,EVT-0002,Noche Indie Capital,music,indie,2026-02-22T21:00:00+01:00,2026-02-23T00:30:00+01:00,Europe/Madrid,MAD-LA-RIVIERA,La Riviera,40.413565,-3.720147,confirmed,https://eventos.madrid.es/ev/0002,indie|live
madrid_cultura,EVT-0003,Gala Flamenca Real,music,flamenco,2026-02-25T19:30:00+01:00,2026-02-25T22:00:00+01:00,Europe/Madrid,MAD-TEATRO-REAL,Teatro Real,40.418987,-3.710522,confirmed,https://eventos.madrid.es/ev/0003,flamenco|heritage
madrid_cultura,EVT-0004,Derby de Basket Municipal,sports,basketball,2026-02-18T19:00:00+01:00,2026-02-18T21:30:00+01:00,Europe/Madrid,MAD-WIZINK,WiZink Center,40.423941,-3.671221,confirmed,https://eventos.madrid.es/ev/0004,sports|basket
madrid_cultura,EVT-0005,Maraton Tech Latam,conference,technology,2026-03-02T09:00:00+01:00,2026-03-02T18:00:00+01:00,Europe/Madrid,MAD-IFEMA,IFEMA Madrid - Pabellón 12,40.467640,-3.615511,confirmed,https://eventos.madrid.es/ev/0005,tech|startup
madrid_cultura,EVT-0006,Obra Luces de Febrero,theatre,drama,2026-02-24T20:30:00+01:00,2026-02-24T22:45:00+01:00,Europe/Madrid,MAD-TEATRO-ESPAÑOL,Teatro Español,40.414706,-3.699088,confirmed,https://eventos.madrid.es/ev/0006,theatre|premiere
madrid_cultura,EVT-0007,Ciclo Cine Noir Nocturno,cinema,noir,2026-03-01T22:00:00+01:00,2026-03-02T00:15:00+01:00,Europe/Madrid,MAD-CINES-CALLAO,Cines Callao,40.420330,-3.705439,confirmed,https://eventos.madrid.es/ev/0007,cinema|noir
madrid_cultura,EVT-0008,Expo Arte Digital 2026,expo,digital,2026-03-05T10:00:00+01:00,2026-03-05T19:00:00+01:00,Europe/Madrid,MAD-CAIXAFORUM,CaixaForum Madrid,40.411271,-3.689580,confirmed,https://eventos.madrid.es/ev/0008,art|digital
madrid_cultura,EVT-0009,Feria Diseño Independiente,expo,design,2026-02-28T11:00:00+01:00,2026-02-28T21:00:00+01:00,Europe/Madrid,MAD-MATADERO,Matadero Madrid - Nave 16,40.391533,-3.699794,confirmed,https://eventos.madrid.es/ev/0009,design|market
madrid_cultura,EVT-0010,Final Liga Municipal Futbol Sala,sports,futsal,2026-03-06T18:00:00+01:00,2026-03-06T20:30:00+01:00,Europe/Madrid,MAD-CDM-CERRO,Centro Deportivo Municipal Cerro Almodóvar,40.381620,-3.623470,confirmed,https://eventos.madrid.es/ev/0010,sports|futsal
madrid_cultura,EVT-0011,Gran Circo Urbano,community,family,2026-03-03T17:00:00+01:00,2026-03-03T19:30:00+01:00,Europe/Madrid,MAD-PALACIO-VISTALEGRE,Palacio Vistalegre Arena,40.385893,-3.738958,confirmed,https://eventos.madrid.es/ev/0011,circus|family
madrid_cultura,EVT-0012,Show Electrolaser,music,electronic,2026-03-08T23:00:00+01:00,2026-03-09T04:00:00+01:00,Europe/Madrid,MAD-JOY-ESLAVA,Joy Eslava,40.418504,-3.706997,confirmed,https://eventos.madrid.es/ev/0012,electronic|club
madrid_cultura,EVT-0013,Rio Groove Session,music,jazz,2026-02-26T21:00:00+01:00,2026-02-27T00:00:00+01:00,Europe/Madrid,MAD-LA-RIVIERA,La Riviera,40.413565,-3.720147,confirmed,https://eventos.madrid.es/ev/0013,jazz|fusion
madrid_cultura,EVT-0014,Ballet Contemporaneo Canal,theatre,dance,2026-03-04T19:30:00+01:00,2026-03-04T21:30:00+01:00,Europe/Madrid,MAD-TEATROS-CANAL,Teatros del Canal - Sala Roja,40.437421,-3.703010,confirmed,https://eventos.madrid.es/ev/0014,dance|ballet
madrid_cultura,EVT-0015,Picnic Electronico Primavera,music,electronic,2026-03-07T16:00:00+01:00,2026-03-07T22:00:00+01:00,Europe/Madrid,MAD-ESPACIO-5,Espacio Quinta de los Molinos,40.443844,-3.641996,confirmed,https://eventos.madrid.es/ev/0015,openair|electronic
madrid_cultura,EVT-0016,Foro Movilidad Urbana,conference,mobility,2026-02-27T09:30:00+01:00,2026-02-27T17:30:00+01:00,Europe/Madrid,MAD-IFEMA,IFEMA Madrid - Pabellón 12,40.467640,-3.615511,confirmed,https://eventos.madrid.es/ev/0016,mobility|smartcity
madrid_cultura,EVT-0017,Torneo Esgrima Ciudad,sports,fencing,2026-03-09T10:00:00+01:00,2026-03-09T15:00:00+01:00,Europe/Madrid,MAD-CDM-CERRO,Centro Deportivo Municipal Cerro Almodóvar,40.381620,-3.623470,confirmed,https://eventos.madrid.es/ev/0017,sports|fencing
madrid_cultura,EVT-0018,Ciclo Cine Documental Social,cinema,documentary,2026-03-02T18:30:00+01:00,2026-03-02T20:30:00+01:00,Europe/Madrid,MAD-CONDDE-DUQUE,Centro Cultural Conde Duque,40.427875,-3.714942,confirmed,https://eventos.madrid.es/ev/0018,cinema|social
madrid_cultura,EVT-0019,Encuentro Huertos Urbanos,community,environment,2026-03-01T11:00:00+01:00,2026-03-01T14:00:00+01:00,Europe/Madrid,MAD-ESPACIO-5,Espacio Quinta de los Molinos,40.443844,-3.641996,confirmed,https://eventos.madrid.es/ev/0019,community|green
madrid_cultura,EVT-0020,Opera de Camara Invierno,music,opera,2026-02-21T18:00:00+01:00,2026-02-21T20:15:00+01:00,Europe/Madrid,MAD-TEATRO-REAL,Teatro Real,40.418987,-3.710522,confirmed,https://eventos.madrid.es/ev/0020,opera|classic
madrid_cultura,EVT-0021,Premios Teatro Español,theatre,award,2026-03-10T20:00:00+01:00,2026-03-10T22:00:00+01:00,Europe/Madrid,MAD-TEATRO-ESPAÑOL,Teatro Español,40.414706,-3.699088,confirmed,https://eventos.madrid.es/ev/0021,award|theatre
